Central/Ubicacion,Equipo,Potencia_Indisponible_MW
YUNCAN,G3,45.44
YAUPI,G4,22.66
YAUPI,G5,22.58
YAUPI,G1,22.07
YAUPI,G2,23.23
YAUPI,G3,23.16
YANANGO,G1,43.11
WAYRA EXTENSION,CENTRAL,177
VENTANILLA,BESS-VENTANILLA,0
VENTANILLA,TG4,170
VENTANILLA,TG3,170
VENTANILLA,TV,192
TUMBES,MAK2,8.52
TUMBES,MAK1,8.83
SANTA ROSA,TG7,118.15
SANTA ROSA,UTI6,53.71
SANTA ROSA,UTI5,52.42
SAN NICOLAS,TV3,24.43
SAN NICOLAS,CUMMINS,1.06
SAN NICOLAS,TV2,19.19
SAN NICOLAS,TV1,18.14
SAN JUAN,CENTRAL,135.7
SAN JACINTO,CENTRAL,8.32
SAN GABAN II,G1,58.19
RESTITUCION,G1,75.38
RESTITUCION,CENTRAL,226.47
RESTITUCION,G2,75.92
RESTITUCION,G3,75.17
RESERVA FRIA PLANTA ILO,TG1,164.44
RESERVA FRIA PLANTA ILO,TG2,165.47
RESERVA FRIA DE GENERACION TALARA,TG5,184.87
RESERVA FRIA DE GENERACION ETEN,RF-ETENGT1,213.72
REPARTICION SOLAR 20T,CENTRAL,20
RENOVANDES H1,G1,20.86
REFINERIA TALARA,CENTRAL,103
PURMACANA,CENTRAL,1.77
POTRERO,G2,10.06
PCH TUPURI,G1,2.15
PCH CHAGLLA,GP1,6.39
PARQUE EOLICO MARCONA,CENTRAL,32
PARQUE EOLICO 3 HERMANAS,CENTRAL,97.15
PARAMONGA,TV-01,16.15
PACHACHACA,CENTRAL,9.95
OROYA,CENTRAL,9.09
MOLLENDO D,CENTRAL,23.89
MOLLENDO D,GD3,7.92
MOLLENDO D,GD1,8.02
MOLLENDO D,GD2,7.95
MATUCANA,CENTRAL,137.02
MATUCANA,G2,68.47
MATARANI,C.S. MATARANI,80
MANTARO,G2,107.42
MANTARO,G6,83.79
MANTARO,G1,107.23
MANTARO,CENTRAL,678.71
MANTA I,G2,10.38
MALACAS 1,TG6,46.58
MALACAS,TG4,88.22
MAJES SOLAR 20T,CENTRAL,20
MACHUPICCHU,G1,17.46
MACHUPICCHU,G2,29.46
MACHUPICCHU,G3,17.41
LAS FLORES,TG1,192.1
LA JOYA,CENTRAL,9.08
LA GRINGA V,G1,1.46
LA GRINGA V,G2,1.46
KALLPA,TG3,205
KALLPA,TG2,202
KALLPA,TV,294
KALLPA,TG1,182
INDEPENDENCIA,CENTRAL,23.06
INDEPENDENCIA,INDEP_G1,5.74
INDEPENDENCIA,INDEP_G2,5.77
INDEPENDENCIA,INDEP_G3,5.78
INDEPENDENCIA,INDEP_G4,5.76
ILO 4,TG41,206.49
HUINCO,G3,69.91
HUINCO,G1,69.53
HUINCO,G4,69.35
HUINCO,G2,69.11
HUAYCOLORO,G3,1.49
HUAYCOLORO,G1,1.48
HUAYCOLORO,G2,1.48
HUAMPANI,CENTRAL,30.85
HUAMPANI,G2,15.24
DO?A CATALINA,G2,0.97
DO?A CATALINA,G1,0.96
CTB CALLAO,G1 CALLAO,0.98
CTB CALLAO,G2 CALLAO,0.97
COENERGY,CENTRAL,0.5
CHIMAY,G1,77.16
CHIMAY,G2,78.59
CHILINA D,SLZ2,5.13
CHILINA D,SLZ1,5.09
CHILINA D,TG,11.41
CHILCA-REP,BESS-KALLPA,0
CHILCA 2,TG41,73.6
CHILCA 2,TV42,37.34
CHILCA 1,TV,292
CHARCANI V,G2,48.85
CHARCANI IV,CENTRAL,15.37
CHARCANI III,CENTRAL,4.66
CHARCANI III,G1,2.33
CHARCANI III,G2,2.33
CHARCANI II,CENTRAL,0.58
CHARCANI II,G1,0.19
CHARCANI II,G2,0.18
CHARCANI II,G3,0.21
CHARCANI I,CENTRAL,1.64
CHAGLLA,G2,235.04
CH HER 1,CENTRAL,0.34
CERRO DEL AGUILA,G2,203.05
CERRO DEL AGUILA,G1,189.69
CENTRAL EOLICA DUNA,CENTRAL,18.37
CARHUAQUERO,G1,31.59
CARHUAC,G1,10.18
CARHUAC,G2,10.19
CALLAHUANCA,G3,16.59
CALLAHUANCA,G1,16.76
CALLAHUANCA,G4,34.48
CAHUA,G1,22.8
CAHUA,G2,22.58
CAHUA,CENTRAL,45.38
CA?ON DEL PATO,G5,44.69
CA?ON DEL PATO,G6,44.22
CA?ON DEL PATO,G3,43.77
CA?ON DEL PATO,G4,44.12
CA?ON DEL PATO,G2,44.55
CA?ON DEL PATO,G1,44.22
CA?A BRAVA,CENTRAL,0
ARICOTA II,G1,12.23
ARICOTA I,G1,11.09
ARICOTA I,G2,11
ANASHIRONI,G1,20
AGUAYTIA,CENTRAL,179.37
AGROLMOS,TV2,18
